phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.7,1838.619573,4.37E-05,3.25E-06,4.17E-05,0.057354294,0.000731736,0.136537824,6.19E-07,3.42E-08,4.54E-24,3.12E-25,1.11E-24,4.41E-26,1.28E-23,8.57E-24,8.68E-05,0.068387849,1.52E-13,1.59E-15,1.86E-22,2.11E-24,1.55E-23,3.45E-34,4.52E-31,1.82E-37,3.57E-37,2.07E-43,1.68E-44,1.54E-27,2.93E-27,6.37E-31,6.17E-11,4.56E-12,1.38E-12,6.81E-12,5.12E-12,0.002394257,2.91E-06,1.33E-07,3.99E-09,3.57E-19,3.63E-16,3.14E-24,5.44E-28,4.07E-21,3.94E-16,4.27E-13,8.72E-15,0.734414921,0,1.01E-63,7.89E-65,6.20E-34,1.21E-34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,1996.887024,0.000225136,2.39E-05,0.000125729,0.037093012,0.001619856,0.153858815,9.49E-07,5.48E-08,2.54E-21,2.08E-22,5.61E-22,2.71E-23,4.09E-21,1.95E-21,0.000514161,0.076939023,4.46E-12,4.77E-14,2.07E-20,2.74E-22,1.44E-21,2.66E-30,1.35E-27,1.72E-33,2.10E-33,3.85E-39,2.46E-40,1.25E-24,1.67E-24,7.19E-28,7.39E-10,6.56E-11,1.87E-11,5.95E-11,4.16E-11,0.003076595,2.25E-06,1.67E-07,1.25E-08,4.56E-17,2.15E-14,7.58E-22,1.84E-25,2.44E-19,8.81E-15,5.64E-12,1.88E-13,0.726520331,0,1.18E-57,7.19E-59,1.14E-30,1.85E-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,2134.237921,0.000933903,0.000117427,0.00023879,0.018473961,0.002687186,0.169974517,9.95E-07,6.56E-08,4.16E-19,4.28E-20,1.04E-19,5.78E-21,5.91E-19,2.44E-19,0.002327608,0.083828044,7.39E-11,8.89E-13,1.13E-18,1.69E-20,7.63E-20,4.93E-27,1.37E-24,4.55E-30,4.31E-30,2.05E-35,1.21E-36,3.57E-22,4.05E-22,2.92E-25,4.72E-09,5.30E-10,1.59E-10,4.04E-10,2.19E-10,0.003077021,1.28E-06,1.65E-07,2.69E-08,2.47E-15,7.25E-13,8.06E-20,2.28E-23,6.90E-18,1.19E-13,5.14E-11,2.25E-12,0.718339003,0,2.46E-52,1.38E-53,7.32E-28,1.15E-28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2225.524583,0.003604526,0.000390347,0.000215659,0.004622237,0.002875407,0.183466593,4.99E-07,4.57E-08,2.22E-17,3.36E-18,9.83E-18,5.96E-19,6.22E-17,3.03E-17,0.008987939,0.085364217,7.95E-10,1.32E-11,4.11E-17,6.58E-19,3.49E-18,3.67E-24,9.15E-22,6.92E-27,7.23E-27,7.84E-32,5.70E-33,5.37E-20,7.11E-20,6.97E-23,1.42E-08,2.36E-09,9.41E-10,2.69E-09,7.56E-10,0.001888206,3.46E-07,1.00E-07,3.37E-08,6.77E-14,1.93E-11,5.48E-18,1.32E-21,1.02E-16,1.13E-12,3.86E-10,1.54E-11,0.708583821,0,3.54E-47,2.43E-48,2.95E-25,5.85E-26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,2210.383262,0.012388446,0.000665172,5.37E-05,0.000346664,0.001440115,0.189540264,6.91E-08,1.24E-08,1.73E-16,5.09E-17,2.98E-16,1.78E-17,3.83E-15,3.76E-15,0.02614654,0.075344175,4.05E-09,1.32E-10,7.37E-16,1.16E-17,1.24E-16,5.71E-22,2.99E-19,4.10E-24,8.70E-24,1.71E-28,2.48E-29,2.64E-18,7.05E-18,6.58E-21,1.18E-08,3.79E-09,2.98E-09,1.73E-08,1.25E-09,0.000494583,2.54E-08,2.60E-08,1.63E-08,5.80E-13,3.43E-10,1.73E-16,2.04E-20,4.89E-16,5.82E-12,2.06E-09,4.05E-11,0.693580121,0,2.71E-42,3.72E-43,5.30E-23,2.09E-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
