phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,1003.435554,0.326466771,1.42E-09,1.83E-21,1.10E-22,3.49E-13,0.035351762,6.42E-26,1.10E-21,3.78E-30,1.90E-26,5.20E-19,2.82E-21,4.00E-10,0.005312764,0.15691831,0.02404319,6.74E-12,2.84E-08,1.68E-15,4.11E-18,4.63E-10,9.35E-24,1.20E-10,1.24E-16,1.88E-08,3.01E-14,1.57E-08,3.20E-18,1.29E-10,2.34E-17,2.43E-22,1.13E-18,3.06E-13,7.17E-05,3.84E-16,5.66E-16,6.82E-28,3.53E-20,4.36E-20,1.12E-18,1.89E-06,3.11E-15,2.68E-26,9.27E-23,2.39E-13,7.41E-08,1.79E-17,0.451833505,0,3.06E-19,1.69E-13,5.96E-17,4.13E-11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,985.3008097,0.328754243,8.73E-10,5.63E-22,3.17E-23,1.73E-13,0.03305425,1.82E-26,4.36E-22,1.12E-30,7.43E-27,3.24E-19,1.61E-21,4.33E-10,0.00952719,0.156865154,0.024098448,4.86E-12,2.89E-08,1.40E-15,3.21E-18,5.91E-10,5.68E-24,1.55E-10,1.39E-16,3.69E-08,5.18E-14,4.27E-08,2.47E-18,1.66E-10,2.26E-17,8.47E-23,5.15E-19,2.03E-13,8.14E-05,2.21E-16,2.47E-16,1.82E-28,1.57E-20,1.87E-20,6.18E-19,2.07E-06,2.66E-15,1.39E-26,4.97E-23,1.93E-13,7.54E-08,1.04E-17,0.447617081,0,8.07E-19,7.08E-13,6.61E-17,7.08E-11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,972.417058,0.329358979,6.10E-10,2.39E-22,1.29E-23,1.04E-13,0.031537634,7.32E-27,2.23E-22,4.57E-31,3.70E-27,2.26E-19,1.06E-21,4.52E-10,0.014391767,0.156312509,0.024200614,3.81E-12,2.92E-08,1.21E-15,2.66E-18,7.01E-10,3.87E-24,1.83E-10,1.48E-16,5.92E-08,7.50E-14,8.65E-08,2.02E-18,1.97E-10,2.17E-17,3.90E-23,2.88E-19,1.49E-13,8.88E-05,1.47E-16,1.36E-16,6.99E-29,8.67E-21,1.01E-20,3.95E-19,2.18E-06,2.34E-15,8.54E-27,3.13E-23,1.64E-13,7.59E-08,6.94E-18,0.44410723,0,1.58E-18,1.95E-12,7.01E-17,1.03E-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,962.6077715,0.329009612,4.61E-10,1.23E-22,6.47E-24,7.00E-14,0.030467482,3.62E-27,1.34E-22,2.25E-31,2.13E-27,1.69E-19,7.57E-22,4.62E-10,0.019605417,0.155475971,0.02433169,3.13E-12,2.92E-08,1.07E-15,2.28E-18,7.94E-10,2.82E-24,2.06E-10,1.53E-16,8.39E-08,9.80E-14,1.47E-07,1.71E-18,2.22E-10,2.08E-17,2.13E-23,1.83E-19,1.17E-13,9.47E-05,1.07E-16,8.52E-17,3.35E-29,5.49E-21,6.23E-21,2.76E-19,2.25E-06,2.10E-15,5.77E-27,2.17E-23,1.44E-13,7.60E-08,5.06E-18,0.441012527,0,2.60E-18,4.15E-12,7.25E-17,1.36E-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,954.7186182,0.328086517,3.66E-10,7.16E-23,3.70E-24,5.08E-14,0.029669919,2.05E-27,8.82E-23,1.25E-31,1.34E-27,1.32E-19,5.70E-22,4.67E-10,0.025010157,0.154469895,0.024480919,2.66E-12,2.91E-08,9.70E-16,2.00E-18,8.74E-10,2.15E-24,2.23E-10,1.55E-16,1.10E-07,1.20E-13,2.22E-07,1.47E-18,2.42E-10,1.98E-17,1.30E-23,1.26E-19,9.61E-14,9.95E-05,8.22E-17,5.85E-17,1.84E-29,3.79E-21,4.22E-21,2.05E-19,2.30E-06,1.90E-15,4.16E-27,1.61E-23,1.29E-13,7.59E-08,3.89E-18,0.438180377,0,3.80E-18,7.52E-12,7.36E-17,1.69E-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,948.1128297,0.326796757,3.01E-10,4.54E-23,2.32E-24,3.87E-14,0.029050485,1.27E-27,6.22E-23,7.59E-32,9.03E-28,1.06E-19,4.45E-22,4.67E-10,0.030520023,0.153357186,0.024641918,2.31E-12,2.89E-08,8.86E-16,1.78E-18,9.44E-10,1.69E-24,2.36E-10,1.54E-16,1.36E-07,1.41E-13,3.11E-07,1.29E-18,2.58E-10,1.89E-17,8.53E-24,9.17E-20,8.09E-14,0.00010345,6.57E-17,4.26E-17,1.12E-29,2.77E-21,3.03E-21,1.58E-19,2.32E-06,1.74E-15,3.13E-27,1.24E-23,1.17E-13,7.55E-08,3.11E-18,0.435527306,0,5.15E-18,1.22E-11,7.40E-17,2.02E-10
